actual_cost_draw, mean_lie_lira_per_unit
4.000251150054606, 1.2348153355902736
4.049626963634235, 1.2937691457512677
4.099527695804658, 1.5431551716854894
4.1490658985463, 0.5120872551656435
4.200017859119352, 0.4744119991893889
4.2487368950691184, 0.5500469737615319
4.298578809780595, 0.5916897346958314
4.349652682904919, 0.9846096098103247
4.399395142640358, 0.6749773953811187
4.449249890251968, 0.7619459595881284
4.500328041009671, 1.1699744357935256
4.550024516186298, 0.6979247596371074
4.599916693089964, 0.9170935833895222
4.649648458741959, 0.5696898662330576
4.699481818186679, 0.5811154249855499
4.750461583376689, 0.6416460761001677
4.850089803565728, 0.5285197837870212
4.798984917599413, 0.026062550763477965
4.899987327511118, 0.7665743589030658
4.9498345892643165, 0.8271028712009942
5.000684956044643, 0.4305983393157824
5.0505118990392965, 0.4193609964319194
5.099227726764029, 0.4836645201858851
5.150204283729005, 0.5328637204823248
5.1999884503898794, 0.37054036668942736
5.249851396798798, 0.48646708298733543
5.298873075310053, 0.2977022514075647
5.349846424049995, 0.33557000088582667
5.39987691109955, 0.37658359324412016
5.449848580690157, 0.20985392060249097
5.499880850086952, 0.2571627634153266
5.5489132226816515, 0.10616943456281458
5.599891027289697, 0.15977531017743463
5.649881411526333, 0.059145767308507846
5.699917245617609, 0.11904511103043047
5.7508692061906626, 0.08136985505417549
5.800892563851253, 0.09720244559429636
5.850903445081158, 0.06896828295261548
5.900915217484684, 0.04388174553820612
5.95092698988821, 0.018795208123796314
6.000154232447905, 0.0005270400791075325
